FUNC __main__.main 39.8711 1613493638.5080 40.5703 1613493641.6007 0
CMDLINE C:\Users\bener807\Anaconda3\python.exe .\matmult.py
MEM 1.281250 1613493637.9415
MEM 14.085938 1613493638.0422
MEM 21.605469 1613493638.1430
MEM 26.925781 1613493638.2437
MEM 31.714844 1613493638.3444
MEM 38.128906 1613493638.4452
MEM 40.316406 1613493638.5459
MEM 41.695312 1613493638.6467
MEM 41.757812 1613493638.7473
MEM 41.820312 1613493638.8481
MEM 41.863281 1613493638.9488
MEM 41.945312 1613493639.0495
MEM 42.007812 1613493639.1503
MEM 42.070312 1613493639.2510
MEM 42.128906 1613493639.3518
MEM 42.195312 1613493639.4525
MEM 42.320312 1613493639.5532
MEM 42.324219 1613493639.6539
MEM 42.445312 1613493639.7547
MEM 42.507812 1613493639.8554
MEM 42.570312 1613493639.9561
MEM 42.585938 1613493640.0569
MEM 42.695312 1613493640.1576
MEM 42.757812 1613493640.2583
MEM 42.820312 1613493640.3591
MEM 42.847656 1613493640.4598
MEM 42.945312 1613493640.5605
MEM 43.007812 1613493640.6612
MEM 43.070312 1613493640.7620
MEM 43.105469 1613493640.8627
MEM 43.195312 1613493640.9635
MEM 43.257812 1613493641.0642
MEM 43.320312 1613493641.1649
MEM 43.371094 1613493641.2657
MEM 43.445312 1613493641.3664
MEM 43.507812 1613493641.4671
MEM 43.570312 1613493641.5678
